GOSECSBJ,KISMODE,KISLEVEL,GOSECLQ_UK,GOSECMED_UK,GOSECUQ_UK,GOSECPOP_UK,GOSECLQ_E,GOSECMED_E,GOSECUQ_E,GOSECPOP_E,GOSECLQ_NI,GOSECMED_NI,GOSECUQ_NI,GOSECPOP_NI,GOSECLQ_S,GOSECMED_S,GOSECUQ_S,GOSECPOP_S,GOSECLQ_W,GOSECMED_W,GOSECUQ_W,GOSECPOP_W
CAH19-04-02,01,03,24000,28500,34000,185,24500,30000,34500,165,NA,NA,NA,NA,22500,23500,25000,15,NA,NA,NA,NA
CAH19-04-03,01,03,23000,26000,30000,85,24000,26000,30000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH19-04-04,01,03,24000,28000,32000,605,24500,28000,32000,515,23000,24000,25000,20,23000,26000,30000,60,21000,25000,29500,10
CAH19-04-04,02,04,32000,42000,48000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH19-04-05,01,03,23000,29000,33500,75,23000,30000,33500,65,NA,NA,NA,NA,23000,26000,32000,10,NA,NA,NA,NA
CAH19-04-06,01,03,23000,27000,30000,200,23000,27000,31000,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH19-04-07,01,03,24000,28000,33000,65,24000,28000,33000,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH19-04-08,01,03,22000,25000,30000,150,22000,25500,30000,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH19-04-09,01,03,25000,28000,32000,785,25000,28000,32000,680,NA,NA,NA,NA,22000,25000,31500,75,21000,26500,30000,15
CAH19-04-09,02,03,23500,30000,38000,45,23000,30000,40000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20,01,03,23000,26500,30500,7730,23500,27000,31000,6850,21000,23000,26000,105,22000,25000,29500,490,22000,24000,28000,265
CAH20,01,04,18000,26000,28000,65,18000,27000,28000,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20,02,03,23000,29000,38500,365,23000,29000,38500,315,NA,NA,NA,NA,23000,30000,45000,40,NA,NA,NA,NA
CAH20,02,04,28000,44000,74000,95,29000,50000,74000,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-01,01,03,23000,26500,30000,5845,23500,27000,31000,5155,21000,23000,25500,80,22000,25000,29000,385,21000,24000,28000,205
CAH20-01,02,03,23000,29500,37500,260,23000,29500,38500,225,NA,NA,NA,NA,24000,30000,37500,25,NA,NA,NA,NA
CAH20-01,02,04,44000,57000,78000,50,44000,57000,78000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-01-01,01,03,23000,27000,31000,4800,23500,27000,31000,4205,20000,23000,25000,80,22000,25000,29500,315,21500,24000,28000,185
CAH20-01-01,02,03,23000,28000,36000,180,23000,28500,36500,150,NA,NA,NA,NA,22500,27000,36000,20,NA,NA,NA,NA
CAH20-01-01,02,04,35000,55000,74000,15,35000,55000,74000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
