subject,HECoS_code,HECoS_label,CAH3_code,CAH3_label,CAH2_code,CAH2_label,CAH1_code,CAH1_label
Information Studies,100869,bioinformatics,CAH11-01-03,information systems,CAH11-01,computing,CAH11,computing
Craft,100895,crafts,CAH25-01-05,others in creative arts and design,CAH25-01,creative arts and design,CAH25,"design, and creative and performing arts"
Zoology,100937,animal physiology,CAH03-01-06,zoology,CAH03-01,biosciences,CAH03,biological and sport sciences
Statistics,101030,applied statistics,CAH09-01-03,statistics,CAH09-01,mathematical sciences,CAH09,mathematical sciences
Gaelic,101120,Gaelic language,CAH19-02-02,Gaelic studies,CAH19-02,Celtic studies,CAH19,language and area studies
Irish,101121,Irish language,CAH19-02-04,others in Celtic studies,CAH19-02,Celtic studies,CAH19,language and area studies
Portuguese,101142,Portuguese language,CAH19-04-04,Iberian studies,CAH19-04,languages and area studies,CAH19,language and area studies
Swedish,101148,Swedish language,CAH19-04-02,German and Scandinavian studies,CAH19-04,languages and area studies,CAH19,language and area studies
Norwegian,101149,Norwegian language,CAH19-04-02,German and Scandinavian studies,CAH19-04,languages and area studies,CAH19,language and area studies
Finnish Language,101150,Finnish language,CAH19-04-09,others in language and area studies,CAH19-04,languages and area studies,CAH19,language and area studies
Polish,101153,Polish language,CAH19-04-05,Slavic studies,CAH19-04,languages and area studies,CAH19,language and area studies
Czech,101155,Czech language,CAH19-04-05,Slavic studies,CAH19-04,languages and area studies,CAH19,language and area studies
Chinese Language And Literature,101165,Chinese languages,CAH19-04-06,Asian studies,CAH19-04,languages and area studies,CAH19,language and area studies
Japanese,101169,Japanese languages,CAH19-04-06,Asian studies,CAH19-04,languages and area studies,CAH19,language and area studies
Hindi,101174,Hindi language,CAH19-04-06,Asian studies,CAH19-04,languages and area studies,CAH19,language and area studies
Urdu,101175,Urdu language,CAH19-04-06,Asian studies,CAH19-04,languages and area studies,CAH19,language and area studies
Bengali,101177,Bengali language,CAH19-04-06,Asian studies,CAH19-04,languages and area studies,CAH19,language and area studies
India Studies,101180,Asian studies,CAH19-04-06,Asian studies,CAH19-04,languages and area studies,CAH19,language and area studies
Arabic,101192,Arabic languages,CAH19-04-07,African and modern Middle Eastern studies,CAH19-04,languages and area studies,CAH19,language and area studies
Persian,101193,Persian languages,CAH19-04-07,African and modern Middle Eastern studies,CAH19-04,languages and area studies,CAH19,language and area studies
Moving Image Arts,101214,cinematics,CAH25-01-04,cinematics and photography,CAH25-01,creative arts and design,CAH25,"design, and creative and performing arts"
Modern Hebrew,101269,modern Hebrew language,CAH19-04-07,African and modern Middle Eastern studies,CAH19-04,languages and area studies,CAH19,language and area studies
General Studies,101273,combined studies,CAH23-01-01,"combined, general or negotiated studies",CAH23-01,combined and general studies,CAH23,combined and general studies
Extended Project,101279,advice and guidance (personal learning),CAH23-01-02,personal development,CAH23-01,combined and general studies,CAH23,combined and general studies
World Development,101358,development in Africa,CAH15-01-05,development studies,CAH15-01,"sociology, social policy and anthropology",CAH15,social sciences
Domestic Science,101388,cereal science,CAH06-01-07,food sciences,CAH06-01,"agriculture, food and related studies",CAH06,"agriculture, food and related studies"
Biblical Hebrew,101415,Akkadian language,CAH19-04-09,others in language and area studies,CAH19-04,languages and area studies,CAH19,language and area studies
Latin,101420,Latin language,CAH20-01-05,classics,CAH20-01,history and archaeology,CAH20,"historical, philosophical and religious studies"
Danish,101424,Danish language,CAH19-04-02,German and Scandinavian studies,CAH19-04,languages and area studies,CAH19,language and area studies
Hungarian,101427,Hungarian language,CAH19-04-09,others in language and area studies,CAH19-04,languages and area studies,CAH19,language and area studies
Turkish,101431,Turkish languages,CAH19-04-07,African and modern Middle Eastern studies,CAH19-04,languages and area studies,CAH19,language and area studies
