LEO3SECSBJ,KISMODE,KISLEVEL,LEO3SECPOP_UK,LEO3LQ_UK,LEO3MED_UK,LEO3UQ_UK,LEO3SECPOP_E,LEO3LQ_E,LEO3MED_E,LEO3UQ_E,LEO3SECPOP_NW,LEO3LQ_NW,LEO3MED_NW,LEO3UQ_NW,LEO3SECPOP_NE,LEO3LQ_NE,LEO3MED_NE,LEO3UQ_NE,LEO3SECPOP_EM,LEO3LQ_EM,LEO3MED_EM,LEO3UQ_EM,LEO3SECPOP_WM,LEO3LQ_WM,LEO3MED_WM,LEO3UQ_WM,LEO3SECPOP_EE,LEO3LQ_EE,LEO3MED_EE,LEO3UQ_EE,LEO3SECPOP_SE,LEO3LQ_SE,LEO3MED_SE,LEO3UQ_SE,LEO3SECPOP_SW,LEO3LQ_SW,LEO3MED_SW,LEO3UQ_SW,LEO3SECPOP_YH,LEO3LQ_YH,LEO3MED_YH,LEO3UQ_YH,LEO3SECPOP_LN,LEO3LQ_LN,LEO3MED_LN,LEO3UQ_LN,LEO3SECPOP_W,LEO3LQ_W,LEO3MED_W,LEO3UQ_W,LEO3SECPOP_CF,LEO3LQ_CF,LEO3MED_CF,LEO3UQ_CF,LEO3SECPOP_S,LEO3LQ_S,LEO3MED_S,LEO3UQ_S,LEO3SECPOP_ED,LEO3LQ_ED,LEO3MED_ED,LEO3UQ_ED,LEO3SECPOP_GL,LEO3LQ_GL,LEO3MED_GL,LEO3UQ_GL
CAH03-01-08,02,03,150,17000,22000,29500,145,17000,22500,29500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,17000,19500,24500,NA,NA,NA,NA,15,22500,26500,30000,NA,NA,NA,NA,NA,NA,NA,NA,45,17000,24500,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-09,01,04,35,11500,18000,20500,35,11500,18000,20500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-10,01,03,2285,19000,23500,29500,1715,19000,24000,29500,290,18500,23000,28000,45,19000,23000,27000,135,20000,23000,29000,150,18500,22500,27500,160,20000,24000,30000,215,21000,25500,32000,145,19000,24500,30000,230,17500,22000,26500,345,19500,25000,30500,130,18500,22500,27000,45,15500,22500,25500,430,19000,24000,29500,25,18500,25000,32000,75,17000,23500,30000
CAH03-01-10,01,04,130,16000,20000,22000,105,16500,20000,22000,35,18500,20000,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,18000,21000,23000,20,15500,17500,20500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,12500,17500,21500,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-10,02,03,260,16500,22500,29000,215,16500,23000,30000,25,10500,18500,24000,NA,NA,NA,NA,20,17000,26000,35000,15,15000,21000,29000,20,22500,25000,36000,35,17500,25000,35000,15,16000,23500,24000,25,17000,22000,28500,55,16000,21500,26500,NA,NA,NA,NA,NA,NA,NA,NA,30,16000,21000,24000,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-10,02,04,125,20000,28500,36500,105,20000,29000,37500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22500,25000,30500,20,21000,28000,36500,30,21500,33500,37500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-02,01,03,13810,17500,22000,26500,12105,17500,22500,26500,1765,17000,21000,25000,830,16500,20500,24500,1015,17500,22000,25500,1465,17000,22000,25500,1265,19000,24000,28000,1730,19000,24000,28000,1170,16500,21000,25000,1475,17000,21000,25000,1390,19500,25000,30000,735,16000,20500,24500,120,17000,20500,24500,850,17000,22000,26000,90,16500,22000,26000,105,18500,22500,25000
CAH03-02,01,04,1700,14000,18500,23000,1520,14500,18500,23000,195,14500,18500,23500,155,14000,17500,21000,145,13500,18500,22500,190,13000,18000,22500,135,13500,18500,22500,125,15500,21000,26500,280,14500,18500,23000,145,14500,19000,23000,145,14500,21500,26500,120,13500,18500,22500,NA,NA,NA,NA,55,10500,17000,20000,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-02,02,03,795,17500,22500,28500,705,17500,22500,28500,70,16500,21000,27500,50,15500,20500,24500,55,16500,22500,30000,85,18000,21000,27500,75,17500,22000,27000,95,20500,25000,31500,70,19500,23500,34500,60,17500,22500,29000,145,18000,24000,28500,25,17000,21000,30000,NA,NA,NA,NA,55,15500,19500,30500,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-02,02,04,235,16500,22500,34000,215,16500,22500,34000,NA,NA,NA,NA,30,14500,19500,24000,15,16000,20000,26500,45,16000,21000,26500,25,17000,21000,28000,35,19500,26500,38000,25,17500,26500,37500,NA,NA,NA,NA,25,12000,21500,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-02-01,01,03,13810,17500,22000,26500,12105,17500,22500,26500,1765,17000,21000,25000,830,16500,20500,24500,1015,17500,22000,25500,1465,17000,22000,25500,1265,19000,24000,28000,1730,19000,24000,28000,1170,16500,21000,25000,1475,17000,21000,25000,1390,19500,25000,30000,735,16000,20500,24500,120,17000,20500,24500,850,17000,22000,26000,90,16500,22000,26000,105,18500,22500,25000
CAH03-02-01,01,04,1700,14000,18500,23000,1520,14500,18500,23000,195,14500,18500,23500,155,14000,17500,21000,145,13500,18500,22500,190,13000,18000,22500,135,13500,18500,22500,125,15500,21000,26500,280,14500,18500,23000,145,14500,19000,23000,145,14500,21500,26500,120,13500,18500,22500,NA,NA,NA,NA,55,10500,17000,20000,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-02-01,02,03,795,17500,22500,28500,705,17500,22500,28500,70,16500,21000,27500,50,15500,20500,24500,55,16500,22500,30000,85,18000,21000,27500,75,17500,22000,27000,95,20500,25000,31500,70,19500,23500,34500,60,17500,22500,29000,145,18000,24000,28500,25,17000,21000,30000,NA,NA,NA,NA,55,15500,19500,30500,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-02-01,02,04,235,16500,22500,34000,215,16500,22500,34000,NA,NA,NA,NA,30,14500,19500,24000,15,16000,20000,26500,45,16000,21000,26500,25,17000,21000,28000,35,19500,26500,38000,25,17500,26500,37500,NA,NA,NA,NA,25,12000,21500,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04,01,03,16140,17500,22000,26500,14305,17500,22000,26500,2035,16000,20000,24000,630,16000,20000,23500,1000,17000,21000,25000,1450,16500,21000,25000,1505,18500,23000,28000,2210,19500,23500,28000,1095,17000,21000,25000,1485,16500,20500,24000,2900,19000,25000,30000,700,16000,20000,23500,140,18000,21000,24500,1070,17000,21000,25500,155,18000,22500,26500,175,16000,20500,24000
