UKPRN,PROVIDER_NAME,UPDATED
10005455,ROYAL ENGINEERS VOCATIONAL EDUCATION AND TRAINING TRUST,07/10/2025
10005470,"Richmond, The American International University in London",07/10/2025
10005500,Robert Gordon University,07/10/2025
10005523,Rose Bruford College of Theatre and Performance,07/10/2025
10005534,RNN Group,07/10/2025
10005544,Royal Academy of Dance,07/10/2025
10005545,Royal Agricultural University,07/10/2025
10005553,Royal Holloway and Bedford New College,07/10/2025
10005561,Royal Conservatoire of Scotland,07/10/2025
10005669,SANDWELL COLLEGE,07/10/2025
10005700,SRUC,07/10/2025
10005736,Unified Seevic Palmer's College,07/10/2025
10005736,Unified Seevic Palmer's College,07/10/2025
10005788,The Sheffield College,07/10/2025
10005790,Sheffield Hallam University,07/10/2025
10005822,Shrewsbury Colleges Group,07/10/2025
10005822,Shrewsbury Colleges Group,07/10/2025
10005916,SLOUGH BOROUGH COUNCIL,07/10/2025
10005946,Solihull College and University Centre,07/10/2025
10005959,SOMERSET COUNCIL,07/10/2025
10005967,South & City College Birmingham,07/10/2025
10005977,South Devon College,07/10/2025
10005979,Havant and South Downs College,07/10/2025
10005981,South Essex College of Further and Higher Education,07/10/2025
10005998,The Trafford and Stockport College Group,07/10/2025
10005999,Tyne Coast College,07/10/2025
10006022,Solent University,07/10/2025
10006050,Sparsholt College,07/10/2025
10006174,St Helens College,07/10/2025
10006299,Staffordshire University,07/10/2025
10006341,THE EDUCATION TRAINING COLLECTIVE,07/10/2025
10006349,STOKE ON TRENT COLLEGE,07/10/2025
10006378,STRODE COLLEGE,07/10/2025
10006398,SUFFOLK NEW COLLEGE,07/10/2025
10006427,University for the Creative Arts,07/10/2025
10006442,Birmingham Metropolitan College,07/10/2025
10006442,Birmingham Metropolitan College,07/10/2025
10006494,Tameside College,07/10/2025
10006549,Telford College,07/10/2025
10006566,The University of West London,07/10/2025
10006770,The Oldham College,07/10/2025
10006840,The University of Birmingham,07/10/2025
10006841,University of Greater Manchester,07/10/2025
10006842,The University of Liverpool,07/10/2025
10006963,New City College,07/10/2025
10006963,New City College,07/10/2025
10007063,Truro and Penwith College,07/10/2025
10007114,University of the Highlands and Islands,07/10/2025
10007137,The University of Chichester,07/10/2025
10007138,The University of Northampton,07/10/2025
10007139,University of Worcester,07/10/2025
10007140,Birmingham City University,07/10/2025
10007141,University of Lancashire,07/10/2025
10007143,University of Durham,07/10/2025
10007144,The University of East London,07/10/2025
10007145,University of Gloucestershire,07/10/2025
10007146,The University of Greenwich,07/10/2025
10007147,University of Hertfordshire,07/10/2025
10007148,The University of Huddersfield,07/10/2025
10007149,The University of Hull,07/10/2025
10007150,The University of Kent,07/10/2025
10007151,The University of Lincoln,07/10/2025
10007152,University of Bedfordshire,07/10/2025
10007154,University of Nottingham,07/10/2025
10007155,The University of Portsmouth,07/10/2025
10007156,The University of Salford,07/10/2025
10007157,The University of Sheffield,07/10/2025
10007158,The University of Southampton,07/10/2025
10007159,The University of Sunderland,07/10/2025
10007160,The University of Surrey,07/10/2025
10007161,Teesside University,07/10/2025
10007162,"University of the Arts, London",07/10/2025
10007163,The University of Warwick,07/10/2025
10007164,"University of the West of England, Bristol",07/10/2025
10007165,The University of Westminster,07/10/2025
10007166,The University of Wolverhampton,07/10/2025
10007167,The University of York,07/10/2025
10007289,Heart of Yorkshire Education Group,07/10/2025
10007361,Waverley Abbey College,07/10/2025
10007417,West Herts College,07/10/2025
10007417,West Herts College,07/10/2025
10007431,West Suffolk College,07/10/2025
10007455,Capital City College Group,07/10/2025
10007459,Weston College of Further and Higher Education,07/10/2025
10007469,Weymouth and Kingston Maurward College,07/10/2025
10007500,Wigan and Leigh College,07/10/2025
10007527,Wiltshire College and University Centre,07/10/2025
10007527,Wiltshire College and University Centre,07/10/2025
10007553,Wirral Metropolitan College,07/10/2025
10007578,City of Wolverhampton College,07/10/2025
10007682,XAVERIAN COLLEGE,07/10/2025
10007696,Yeovil College,07/10/2025
10007709,York College,07/10/2025
10007713,York St John University,07/10/2025
10007759,Aston University,07/10/2025
10007760,Birkbeck College,07/10/2025
10007761,Courtauld Institute of Art,07/10/2025
10007762,Glasgow Caledonian University,07/10/2025
10007764,Heriot-Watt University,07/10/2025
10007767,Keele University,07/10/2025
10007768,The University of Lancaster,07/10/2025
10007772,Edinburgh Napier University,07/10/2025
10007773,The Open University,07/10/2025
10007774,The University of Oxford,07/10/2025
10007775,Queen Mary University of London,07/10/2025
10007776,Roehampton University,07/10/2025
10007778,Royal College of Music,07/10/2025
10007779,The Royal Veterinary College,07/10/2025
10007780,SOAS University of London,07/10/2025
10007783,The University of Aberdeen,07/10/2025
10007784,University College London,07/10/2025
10007785,The University of Bradford,07/10/2025
10007786,The University of Bristol,07/10/2025
10007787,The University of Buckingham,07/10/2025
10007788,The University of Cambridge,07/10/2025
10007789,The University of East Anglia,07/10/2025
10007790,The University of Edinburgh,07/10/2025
10007791,The University of Essex,07/10/2025
10007792,The University of Exeter,07/10/2025
10007793,University of South Wales,07/10/2025
10007794,The University of Glasgow,07/10/2025
10007795,The University of Leeds,07/10/2025
10007796,The University of Leicester,07/10/2025
10007797,University of London (Institutes and activities),07/10/2025
10007798,The University of Manchester,07/10/2025
10007799,Newcastle University,07/10/2025
10007800,The University of the West of Scotland,07/10/2025
10007801,University of Plymouth,07/10/2025
10007802,The University of Reading,07/10/2025
10007803,The University of St. Andrews,07/10/2025
10007804,The University of Stirling,07/10/2025
10007805,The University of Strathclyde,07/10/2025
10007806,The University of Sussex,07/10/2025
10007807,Ulster University,07/10/2025
10007810,Birmingham Christian College,07/10/2025
10007811,Lincoln Bishop University,07/10/2025
10007812,University of London Institute in Paris,07/10/2025
10007814,Cardiff University,07/10/2025
10007816,The Royal Central School of Speech and Drama,07/10/2025
10007817,Chichester College Group,07/10/2025
10007820,Grwp Llandrillo Menai,07/10/2025
10007823,Edge Hill University,07/10/2025
10007825,Guildhall School of Music and Drama,07/10/2025
10007832,Birmingham Newman University,07/10/2025
10007833,Wrexham University,07/10/2025
10007833,Wrexham University,07/10/2025
10007834,PEMBROKESHIRE COLLEGE,07/10/2025
10007835,Royal Academy of Music,07/10/2025
10007837,Royal Northern College of Music,07/10/2025
10007838,ROYAL WELSH COLLEGE OF MUSIC AND DRAMA LIMITED,07/10/2025
10007839,SAE EDUCATION LIMITED,07/10/2025
10007842,University of Cumbria,07/10/2025
10007843,"St Mary's University, Twickenham",07/10/2025
10007848,University of Chester,07/10/2025
10007849,Abertay University,07/10/2025
10007850,The University of Bath,07/10/2025
10007851,University of Derby,07/10/2025
10007852,The University of Dundee,07/10/2025
10007854,Cardiff Metropolitan University,07/10/2025
10007855,Swansea University,07/10/2025
10007856,Aberystwyth University,07/10/2025
10007857,Bangor University,07/10/2025
10007858,University of Wales Trinity Saint David,07/10/2025
10007859,Warwickshire College,07/10/2025
10007912,Cliff College,07/10/2025
10007928,South Hampshire College Group,07/10/2025
10007938,TEC Partnership,07/10/2025
10007977,Heart of Worcestershire College,07/10/2025
10008010,Stranmillis University College,07/10/2025
10008017,Trinity Laban Conservatoire of Music and Dance,07/10/2025
10008026,St Mary's University College,07/10/2025
10008071,AA School of Architecture,07/10/2025
10008119,BRIDGEND COLLEGE OF TECHNOLOGY,07/10/2025
10008119,BRIDGEND COLLEGE OF TECHNOLOGY,07/10/2025
10008173,University of the Built Environment,07/10/2025
10008362,London School of Science and Technology Limited,07/10/2025
10008397,Norland College,07/10/2025
10008455,Regent College London,07/10/2025
10008455,Regent College London,07/10/2025
10008455,Regent College London,07/10/2025
10008634,COLEG SIR GAR,07/10/2025
10008640,Falmouth University,07/10/2025
10008653,ST. PIRAN'S SCHOOL (GB) LIMITED,07/10/2025
10008816,Northern School of Contemporary Dance,07/10/2025
10008912,Coleg Gwent,07/10/2025
10008912,Coleg Gwent,07/10/2025
10008912,Coleg Gwent,07/10/2025
10008914,COLEG Y CYMOEDD,07/10/2025
10009213,EDUCATION FOR INDUSTRY GROUP,07/10/2025
10009292,Royal Academy of Dramatic Art,07/10/2025
10009527,Istituto Marangoni Limited,07/10/2025
10009612,Luther King House Educational Trust,07/10/2025
10009614,Grwp NPTC Group,07/10/2025
10009614,Grwp NPTC Group,07/10/2025
10009614,Grwp NPTC Group,07/10/2025
10010213,The City College,07/10/2025
10010308,Cambridge Arts and Sciences Limited,07/10/2025
10010457,SPIRIT SSR LIMITED,07/10/2025
10010822,MIDLANDS ACADEMY OF DANCE & DRAMA LIMITED,07/10/2025
10013109,London Bridge Business Academy,07/10/2025
10013220,Institute of Art - London Limited,07/10/2025
10014001,University of Suffolk,07/10/2025
10015506,The London College,07/10/2025
10015688,David Game College Ltd,07/10/2025
10015688,David Game College Ltd,07/10/2025
10015688,David Game College Ltd,07/10/2025
10019178,Point Blank Music School,07/10/2025
10019368,London College of Business Studies,07/10/2025
10020038,Commonwealth College of Excellence,07/10/2025
10020118,Higher Rhythm Limited,07/10/2025
10020416,Missio Dei,07/10/2025
10020436,Royal School of Needlework (The),07/10/2025
10021100,Regents Theological College,07/10/2025
10021550,Centre for Alternative Technology,07/10/2025
10021682,Kaplan Open Learning (Essex) Limited,07/10/2025
10022021,UK COLLEGE OF BUSINESS AND COMPUTING LTD,07/10/2025
10022047,Empire College London Limited,07/10/2025
10022087,Futureworks,07/10/2025
10022285,London School of Management Education,07/10/2025
10022944,Stratford College London (SCL),07/10/2025
10022944,Stratford College London (SCL),07/10/2025
10023139,LTE Group,07/10/2025
10023434,London School of Commerce & IT Limited,07/10/2025
10023442,The College of Osteopaths,07/10/2025
10023452,The Markfield Institute of Higher Education,07/10/2025
10023453,Matrix College of Counselling and Psychotherapy Ltd,07/10/2025
10023454,Moorlands College,07/10/2025
10023456,Newbold College,07/10/2025
10023458,The Sherwood Psychotherapy Training Institute Limited,07/10/2025
10023464,Trinity College Bristol,07/10/2025
10023526,SOUTH STAFFORDSHIRE COLLEGE,07/10/2025
10023526,SOUTH STAFFORDSHIRE COLLEGE,07/10/2025
10023777,Mont Rose College of Management and Sciences Limited,07/10/2025
10023777,Mont Rose College of Management and Sciences Limited,07/10/2025
10023871,Results Consortium Limited,07/10/2025
10023871,Results Consortium Limited,07/10/2025
10024024,Central Film School,07/10/2025
10024962,"University Centre, Leeds",07/10/2025
10025197,University Centre Quayside Limited,07/10/2025
10026921,Christ the Redeemer College,07/10/2025
10027603,International College of Musical Theatre,07/10/2025
10029147,London School of Jewish Studies,07/10/2025
10029682,The Islamic College,07/10/2025
10029843,Waltham International College Limited,07/10/2025
10030129,Nelson College London Ltd,07/10/2025
10030391,London Churchill College Ltd,07/10/2025
10030408,Gower College Swansea,07/10/2025
10030408,Gower College Swansea,07/10/2025
10030497,Anglo Skills College,07/10/2025
10030776,St Mellitus College,07/10/2025
10031239,LMA,07/10/2025
10031419,ACADEMY OF MUSIC & SOUND LTD,07/10/2025
10031982,BPP University,07/10/2025
10032036,Amity University [IN] London,07/10/2025
10032072,The Cambridge Theological Federation,07/10/2025
10032282,The Queen's Foundation for Ecumenical Theological Education,07/10/2025
10032288,West Dean College,07/10/2025
10032295,Emmanuel Theological College,07/10/2025
10032351,BODMIN COLLEGE,07/10/2025
10032594,London School of Academics Ltd,07/10/2025
10034324,Court Theatre Training Company Ltd,07/10/2025
10034449,Leeds Conservatoire,07/10/2025
10034450,Cardiff and Vale College,07/10/2025
10034450,Cardiff and Vale College,07/10/2025
10034450,Cardiff and Vale College,07/10/2025
10035638,Institute of Contemporary Music Performance,07/10/2025
10036143,South Gloucestershire and Stroud College,07/10/2025
10036456,Academy of Live Technology Ltd,07/10/2025
10037353,QAHE (ULST) LIMITED,07/10/2025
10037364,CECOS COMPUTING INTERNATIONAL LIMITED,07/10/2025
10037449,University of St Mark and St John,07/10/2025
10037544,BIMM University,07/10/2025
10037850,EVERTON FREE SCHOOL,07/10/2025
10038034,THE ADDICT DANCE ACADEMY LTD,07/10/2025
10038501,N D A FOUNDATION,07/10/2025
10038772,British Academy of Jewellery Limited,07/10/2025
10039082,City and Guilds of London Art School,07/10/2025
10039956,The University of Law,07/10/2025
10039958,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,07/10/2025
10040812,Harper Adams University,07/10/2025
10041295,Coleg Cambria,07/10/2025
10041563,SHOCKOUT ARTS LTD,07/10/2025
10041898,Apex College,07/10/2025
10042500,Global Banking School Limited,07/10/2025
10042500,Global Banking School Limited,07/10/2025
10042500,Global Banking School Limited,07/10/2025
10042570,Escape Studios,07/10/2025
10042679,International Business College Manchester Limited,07/10/2025
10042737,UK Business College Ltd,07/10/2025
10043146,UK CURRICULUM AND ACCREDITATION BODY (UKCAB),07/10/2025
10043164,UNIVERSITY CAMPUS OF FOOTBALL BUSINESS LIMITED,07/10/2025
10043208,SCL EDUCATION & TRAINING LIMITED,07/10/2025
10045476,Met Film School Limited,07/10/2025
10045793,IRON MILL EDUCATION LIMITED,07/10/2025
10046386,BALLET THEATRE UK LIMITED,07/10/2025
10047572,ELIZABETH SCHOOL OF LONDON LIMITED,07/10/2025
10048199,Northeastern University London,07/10/2025
10048409,BRS EDUCATION LIMITED,07/10/2025
10052868,LONDON COLLEGE OF CONTEMPORARY ARTS LTD,07/10/2025
10055842,BLACK MOUNTAIN ACTIVITIES LIMITED,07/10/2025
10057622,The School of Information Risk Management,07/10/2025
10060725,WHITEFIELD ACADEMY TRUST,07/10/2025
10062833,Raindance Educational Services Limited,07/10/2025
10065146,CITY OF STOKE-ON-TRENT SIXTH FORM COLLEGE,07/10/2025
10065543,London Brookes College,07/10/2025
10066143,Paris Dauphine International,07/10/2025
10066270,PERFORMANCE PREPARATION ACADEMY LIMITED,07/10/2025
10066502,The College of Health Ltd,07/10/2025
10066551,LCCM AU UK LIMITED,07/10/2025
10067355,Dyson Technical Training Limited,07/10/2025
10067406,New Model Institute for Technology and Engineering (NMITE),07/10/2025
10067601,JSA Education Group Ltd.,07/10/2025
10067623,The London Interdisciplinary School Ltd,07/10/2025
10067648,University Academy 92 Limited,07/10/2025
10067853,ACM Guildford Limited,07/10/2025
10068157,University Centre Peterborough,07/10/2025
10080811,Hartpury University,07/10/2025
10081627,UK MANAGEMENT COLLEGE LTD,07/10/2025
10082302,BRIGHTON ACADEMY LIMITED,07/10/2025
10082316,MOMENTUM PERFORMING ARTS ACADEMY LTD,07/10/2025
10082366,ASHTON SIXTH FORM COLLEGE,07/10/2025
10083403,The Engineering and Design Institute London,07/10/2025
10084822,"CWSH, CWS & COLLEGE OF ESPORTS LIMITED",07/10/2025
10084951,DANCEBOX THEATRE WORKS,07/10/2025
10085293,WATERBEAR EDUCATION LTD,07/10/2025
10085459,SCHOOL OF CODING LIMITED,07/10/2025
10085530,SKYBORNE AVIATION TRAINING LIMITED,07/10/2025
10086107,FOURTH MONKEY EDUCATION LIMITED,07/10/2025
10086359,Caspian School of Academics,07/10/2025
10086591,Regent's University London Limited,07/10/2025
10087170,QAHE (LM) LIMITED,07/10/2025
10088214,S P Jain London School of Management Limited,07/10/2025
10088321,DBS MUSIC HOLDINGS LIMITED,07/10/2025
10089266,LCA EDUCATION LIMITED,07/10/2025
10089266,LCA EDUCATION LIMITED,07/10/2025
10090767,St Padarn's Institute,07/10/2025
10091065,Collective Acting Studio,07/10/2025
10091823,ACCENT LANGUAGE LIMITED,07/10/2025
10092025,ACMET London College,07/10/2025
10093118,MANCHESTER CONSERVATOIRE OF CREATIVE AND PERFORMING ARTS LIMITED,07/10/2025
10096528,WILLIAM COLLEGE LTD,07/10/2025
90000451,Harper and Keele Veterinary School,07/10/2025
99999997,Medway School of Pharmacy,07/10/2025
99999998,Hull York Medical School,07/10/2025
99999999,Brighton and Sussex Medical School,07/10/2025
10004879,OPEN COLLEGE OF THE ARTS,16/10/2025
10005337,"Queen Margaret University, Edinburgh",16/10/2025
10007773,The Open University,16/10/2025
10007807,Ulster University,16/10/2025
10031239,LMA,16/10/2025
10003614,The University of Winchester,21/10/2025
10004048,London Metropolitan University,21/10/2025
10007157,The University of Sheffield,21/10/2025
10087170,QAHE (LM) LIMITED,21/10/2025
10006427,University for the Creative Arts,28/10/2025
10007156,The University of Salford,28/10/2025
10066551,LCCM AU UK LIMITED,28/10/2025
10005553,Royal Holloway and Bedford New College,04/11/2025
10007138,The University of Northampton,04/11/2025
10007148,The University of Huddersfield,04/11/2025
10007855,Swansea University,04/11/2025
10007713,York St John University,11/11/2025
10007760,Birkbeck College,11/11/2025
10007773,The Open University,11/11/2025
