LEO5SECSBJ,KISMODE,KISLEVEL,LEO5SECPOP_UK,LEO5LQ_UK,LEO5MED_UK,LEO5UQ_UK,LEO5SECPOP_E,LEO5LQ_E,LEO5MED_E,LEO5UQ_E,LEO5SECPOP_NW,LEO5LQ_NW,LEO5MED_NW,LEO5UQ_NW,LEO5SECPOP_NE,LEO5LQ_NE,LEO5MED_NE,LEO5UQ_NE,LEO5SECPOP_EM,LEO5LQ_EM,LEO5MED_EM,LEO5UQ_EM,LEO5SECPOP_WM,LEO5LQ_WM,LEO5MED_WM,LEO5UQ_WM,LEO5SECPOP_EE,LEO5LQ_EE,LEO5MED_EE,LEO5UQ_EE,LEO5SECPOP_SE,LEO5LQ_SE,LEO5MED_SE,LEO5UQ_SE,LEO5SECPOP_SW,LEO5LQ_SW,LEO5MED_SW,LEO5UQ_SW,LEO5SECPOP_YH,LEO5LQ_YH,LEO5MED_YH,LEO5UQ_YH,LEO5SECPOP_LN,LEO5LQ_LN,LEO5MED_LN,LEO5UQ_LN,LEO5SECPOP_W,LEO5LQ_W,LEO5MED_W,LEO5UQ_W,LEO5SECPOP_CF,LEO5LQ_CF,LEO5MED_CF,LEO5UQ_CF,LEO5SECPOP_S,LEO5LQ_S,LEO5MED_S,LEO5UQ_S,LEO5SECPOP_ED,LEO5LQ_ED,LEO5MED_ED,LEO5UQ_ED,LEO5SECPOP_GL,LEO5LQ_GL,LEO5MED_GL,LEO5UQ_GL
CAH04-01-02,01,04,30,18500,21500,24000,30,18500,21500,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,18500,21500,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-02,02,03,85,21000,27000,36000,75,21000,27500,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,23500,34000,42000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-02,02,04,35,17000,24000,39500,30,15000,22500,39500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-03,01,03,225,17500,25000,29500,215,17500,25000,29500,45,17000,22000,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15000,25500,29500,NA,NA,NA,NA,NA,NA,NA,NA,90,17500,25000,30500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-03,02,03,55,16000,22500,27500,55,16000,22500,27500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,14000,21000,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-03,02,04,15,19500,23500,27500,15,17500,24000,28500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-04,01,03,75,20500,26500,34000,70,20500,26000,34000,25,18000,22500,25500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,26500,32000,39500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-05,01,03,515,21500,27000,35000,480,21500,27000,35500,50,18000,24000,29000,NA,NA,NA,NA,15,23500,26500,33000,20,21000,26500,42500,55,24000,30000,37500,75,21000,28000,35500,45,17000,24500,30500,105,20000,23500,29500,110,27000,35000,46000,NA,NA,NA,NA,NA,NA,NA,NA,20,19500,23500,32500,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-05,01,04,40,16000,26500,33500,40,16000,26500,33500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15500,23500,31500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-05,02,03,95,21000,26000,34500,95,21000,26000,34500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,21000,26500,34500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-05,02,04,30,15500,27500,41500,25,15500,27500,42500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15500,24500,38500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05,01,03,1385,25500,35500,42000,1140,26000,35500,42500,150,25000,34500,42000,40,28500,35000,42000,125,21000,33000,42500,90,25500,38000,41000,150,26000,32000,41500,225,27000,34500,43500,185,27000,38000,43000,85,25000,35500,41000,90,27500,36000,44000,75,26000,37000,42500,NA,NA,NA,NA,135,25000,36000,41000,20,25500,30500,41000,NA,NA,NA,NA
CAH05,01,04,180,19000,23500,26500,160,18500,23500,27000,20,18000,21500,25000,NA,NA,NA,NA,15,18000,23500,26000,20,19000,22000,25500,15,19000,25000,27000,35,21000,24500,27500,20,11500,18000,24000,20,22500,24500,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05,02,03,20,23000,29000,34500,20,23500,29000,37000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05,02,04,120,20000,26500,34000,110,20000,26000,34500,15,21000,27000,31500,NA,NA,NA,NA,NA,NA,NA,NA,20,22500,23500,30500,NA,NA,NA,NA,20,21500,34000,36500,25,16500,23000,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01,01,03,1385,25500,35500,42000,1140,26000,35500,42500,150,25000,34500,42000,40,28500,35000,42000,125,21000,33000,42500,90,25500,38000,41000,150,26000,32000,41500,225,27000,34500,43500,185,27000,38000,43000,85,25000,35500,41000,90,27500,36000,44000,75,26000,37000,42500,NA,NA,NA,NA,135,25000,36000,41000,20,25500,30500,41000,NA,NA,NA,NA
CAH05-01,01,04,180,19000,23500,26500,160,18500,23500,27000,20,18000,21500,25000,NA,NA,NA,NA,15,18000,23500,26000,20,19000,22000,25500,15,19000,25000,27000,35,21000,24500,27500,20,11500,18000,24000,20,22500,24500,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01,02,03,20,23000,29000,34500,20,23500,29000,37000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01,02,04,120,20000,26500,34000,110,20000,26000,34500,15,21000,27000,31500,NA,NA,NA,NA,NA,NA,NA,NA,20,22500,23500,30500,NA,NA,NA,NA,20,21500,34000,36500,25,16500,23000,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
