PUBUKPRN,UKPRN,REPORT_UKPRN,OVERALL_RATING,STUDENT_EXPERIENCE_RATING,STUDENT_OUTCOMES_RATING,OUTCOME_URL
10007156,10007156,10007156,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8f3edc62-4a89-ee11-be36-0022481b55ca&finaloutcome=e5414b7c-9d53-ee11-be6f-0022481b574a
10007157,10007157,10007157,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8084e5b6-dec4-ee11-9079-0022481b574a&finaloutcome=05dd7326-9d53-ee11-be6f-0022481b5c9c
10007158,10007158,10007158,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=4fe4a664-3889-ee11-be36-0022481b51dd&finaloutcome=22c80f42-9d53-ee11-be6f-0022481b5e3a
10007159,10007159,10007159,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=23de2d15-4a89-ee11-be36-0022481b5c9c&finaloutcome=f24e957e-9d53-ee11-be6f-0022481b51dd
10007160,10007160,10007160,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a809fcc2-dec4-ee11-9079-0022481b55ca&finaloutcome=b9285f82-9d53-ee11-be6f-0022481b5c9c
10007161,10007161,10007161,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=56d5b542-4689-ee11-be36-0022481b538a&finaloutcome=a96d4a3f-9d53-ee11-be6f-0022481b574a
10007162,10007162,10007162,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=05a14867-dcc4-ee11-9079-0022481b574a&finaloutcome=aad5f226-9d53-ee11-be6f-0022481b522f
10007163,10007163,10007163,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=1b7151ec-4489-ee11-be36-0022481b55ca&finaloutcome=e3993c21-9d53-ee11-be6f-0022481b574a
10007164,10007164,10007164,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8654fb9c-2b89-ee11-be36-0022481b5d22&finaloutcome=8a8854a1-9d53-ee11-be6f-0022481b55ca
10007165,10007165,10007165,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=147e0ff4-3398-ee11-be37-0022481b5d22&finaloutcome=ef993c21-9d53-ee11-be6f-0022481b574a
10007166,10007166,10007166,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=277ba616-dfc4-ee11-9079-0022481b5c9c&finaloutcome=4f4df97f-9d53-ee11-be6f-0022481b538a
10007167,10007167,10007167,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=2dbc212f-068a-ee11-be36-0022481b55ca&finaloutcome=1a179bbe-9d53-ee11-be6f-0022481b538a
10007289,10007289,10007289,Bronze,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=de9309b1-4889-ee11-be36-0022481b5e3a&finaloutcome=a2e6283f-9253-ee11-be6f-0022481b574a
10007361,10007361,10007361,Bronze,Silver,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=58b13f36-3589-ee11-be36-0022481b5d22&finaloutcome=3eff2042-9d53-ee11-be6f-0022481b522f
10007455,10006299,10007455,Bronze,Requires Improvement,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=61b6ea04-dcc4-ee11-9079-0022481b55ca&finaloutcome=8a8e46bc-9d53-ee11-be6f-0022481b5e3a
10007459,10007459,10007459,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=89da39c9-6588-ee11-be36-0022481b574a&finaloutcome=65b4a980-9d53-ee11-be6f-0022481b522f
10007500,10007500,10007500,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=94cc376c-dcc4-ee11-9079-0022481b5c9c&finaloutcome=7f3d4c45-9d53-ee11-be6f-0022481b574a
10007709,10007709,10007709,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f3d6f725-4989-ee11-be36-0022481b5c9c&finaloutcome=f7c1e37b-9d53-ee11-be6f-0022481b5c9c
10007713,10007713,10007713,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=b228e21f-b684-ee11-8179-0022481b5c9c&finaloutcome=9e034781-9d53-ee11-be6f-0022481b5c73
10007759,10007759,10007759,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=e3cfe6ab-4789-ee11-be36-0022481b538a&finaloutcome=c5993c21-9d53-ee11-be6f-0022481b574a
10007760,10007760,10007760,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=53fc4c1c-7788-ee11-be36-0022481b55ca&finaloutcome=6d034781-9d53-ee11-be6f-0022481b5c73
10007767,10007767,10007767,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=387030a7-3298-ee11-be37-0022481b5d22&finaloutcome=a0e8ca80-9d53-ee11-be6f-0022481b5d22
10007768,10007768,10007768,Gold,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=10d84242-3498-ee11-be37-0022481b574a&finaloutcome=8f513124-9d53-ee11-be6f-0022481b55ca
10007773,10007773,10007773,Gold,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=10e89ef4-4589-ee11-be36-0022481b5984&finaloutcome=86658b23-9d53-ee11-be6f-0022481b5d22
10007774,10007774,10007774,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=c5b03348-628f-ee11-be36-0022481b574a&finaloutcome=4f8713a6-9d53-ee11-be6f-0022481b5c8e
10007775,10007775,10007775,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=2e26d2b8-2e89-ee11-be36-0022481b574a&finaloutcome=df277240-9d53-ee11-be6f-0022481b5984
10007776,10007776,10007776,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=08c1d260-5389-ee11-be36-0022481b538a&finaloutcome=8b33fea3-9d53-ee11-be6f-0022481b5c9c
10007778,10007778,10007778,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8a4f9c4f-6b88-ee11-be36-0022481b55ca&finaloutcome=9d513124-9d53-ee11-be6f-0022481b55ca
10007779,10007779,10007779,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=30d65ad5-8088-ee11-be36-0022481b5d22&finaloutcome=a1f19144-9d53-ee11-be6f-0022481b5d22
10007780,10007780,10007780,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8d1e0be1-8188-ee11-be36-0022481b51dd&finaloutcome=ec648b23-9d53-ee11-be6f-0022481b5d22
10007784,10007784,10007784,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=4cda39f6-8288-ee11-be36-0022481b574a&finaloutcome=e6b4a980-9d53-ee11-be6f-0022481b522f
10007785,10007785,10007785,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=6df11667-2489-ee11-be36-0022481b538a&finaloutcome=91f19144-9d53-ee11-be6f-0022481b5d22
10007786,10007786,10007786,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f5f61d7f-5489-ee11-be36-0022481b51dd&finaloutcome=3b658b23-9d53-ee11-be6f-0022481b5d22
10007787,10007787,10007787,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=1e923f43-4b89-ee11-be36-0022481b55ca&finaloutcome=1ac2e37b-9d53-ee11-be6f-0022481b5c9c
10007788,10007788,10007788,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=c6a79c53-6c88-ee11-be36-0022481b5d22&finaloutcome=f431d778-9d53-ee11-be6f-0022481b5c8e
10007789,10007789,10007789,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=4fc44d7c-3989-ee11-be36-0022481b5d22&finaloutcome=61658b23-9d53-ee11-be6f-0022481b5d22
10007791,10007791,10007791,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8d2e04ae-2989-ee11-be36-0022481b574a&finaloutcome=dc20117c-9d53-ee11-be6f-0022481b55ca
10007792,10007792,10007792,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=019a67ee-4389-ee11-be36-0022481b574a&finaloutcome=b5e117c0-9d53-ee11-be6f-0022481b55ca
10007795,10007795,10007795,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=129b6495-4089-ee11-be36-0022481b574a&finaloutcome=3aff2042-9d53-ee11-be6f-0022481b522f
10007796,10007796,10007796,Gold,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=e35b60aa-dec4-ee11-9079-0022481b55ca&finaloutcome=64513124-9d53-ee11-be6f-0022481b55ca
10007798,10007798,10007798,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=41d5f630-048a-ee11-be36-0022481b574a&finaloutcome=f16df822-9d53-ee11-be6f-0022481b538a
10007799,10007799,10007799,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=0df4291f-4289-ee11-be36-0022481b51dd&finaloutcome=71034781-9d53-ee11-be6f-0022481b5c73
10007801,10007801,10007801,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f6e163d1-5089-ee11-be36-0022481b538a&finaloutcome=29a4f83e-9d53-ee11-be6f-0022481b5c73
10007802,10007802,10007802,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=2933cba3-3398-ee11-be37-0022481b574a&finaloutcome=4833fea3-9d53-ee11-be6f-0022481b5c9c
10007806,10007806,10007806,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=921c5afe-dec4-ee11-9079-0022481b5c9c&finaloutcome=33e7c2a1-9d53-ee11-be6f-0022481b574a
10007811,10007811,10007811,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=c6c7e02a-2a89-ee11-be36-0022481b51dd&finaloutcome=741977a1-9d53-ee11-be6f-0022481b522f
10007816,10007816,10007816,Silver,Bronze,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=7aec9e9d-dec4-ee11-9079-0022481b5c9c&finaloutcome=c46c46bd-9d53-ee11-be6f-0022481b51dd
10007817,10007817,10007817,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=fd93b855-dbc4-ee11-9079-0022481b574a&finaloutcome=7763dea4-9d53-ee11-be6f-0022481b5210
10007823,10007823,10007823,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=6d3f47b7-dac4-ee11-9079-0022481b5d22&finaloutcome=7fe7ca80-9d53-ee11-be6f-0022481b5d22
10007825,10007825,10007825,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8538f90c-3598-ee11-be37-0022481b5984&finaloutcome=734df97f-9d53-ee11-be6f-0022481b538a
10007832,10007832,10007832,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=ec04c5c6-3389-ee11-be36-0022481b5d22&finaloutcome=2e8713a6-9d53-ee11-be6f-0022481b5c8e
10007835,10007835,10007835,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=b1f322b2-4a89-ee11-be36-0022481b5d22&finaloutcome=acc80f42-9d53-ee11-be6f-0022481b5e3a
10007837,10007837,10007837,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=b0657c59-638f-ee11-be36-0022481b51dd&finaloutcome=5a64a246-9d53-ee11-be6f-0022481b51dd
10007842,10007842,10007842,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=dfe1931e-2489-ee11-be36-0022481b5c9c&finaloutcome=e7414b7c-9d53-ee11-be6f-0022481b574a
10007843,10007843,10007843,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=fd2c5ba5-4e89-ee11-be36-0022481b55ca&finaloutcome=dcbd62ba-9d53-ee11-be6f-0022481b574a
10007848,10007848,10007848,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=5b4a79f8-3e89-ee11-be36-0022481b51dd&finaloutcome=4dbd123c-9d53-ee11-be6f-0022481b5e3a
10007850,10007850,10007850,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=6d207790-3498-ee11-be37-0022481b5d22&finaloutcome=5641b0a3-9d53-ee11-be6f-0022481b5e3a
10007851,10007851,10007851,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=9a16895a-638f-ee11-be36-0022481b5c9c&finaloutcome=678854a1-9d53-ee11-be6f-0022481b55ca
10007859,10007859,10007859,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=478aeb25-dfc4-ee11-9079-0022481b55ca&finaloutcome=338713a6-9d53-ee11-be6f-0022481b5c8e
10007938,10007938,10007938,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=4b4c5858-2589-ee11-be36-0022481b51dd&finaloutcome=8d33fea3-9d53-ee11-be6f-0022481b5c9c
10007977,10007977,10007977,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=160b2674-dbc4-ee11-9079-0022481b5c9c&finaloutcome=594f0abe-9d53-ee11-be6f-0022481b5d22
10008017,10008017,10008017,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=3a911e11-dcc4-ee11-9079-0022481b51dd&finaloutcome=5da9d420-9d53-ee11-be6f-0022481b51dd
10008362,10001883,10008362,Bronze,Bronze,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=b486db81-ddc4-ee11-9079-0022481b51dd&finaloutcome=e9285f82-9d53-ee11-be6f-0022481b5c9c
10008397,10008397,10008397,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8ac75317-3089-ee11-be36-0022481b5c9c&finaloutcome=91513124-9d53-ee11-be6f-0022481b55ca
10008455,10006841,10008455,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=13d12127-3689-ee11-be36-0022481b55ca&finaloutcome=40a9d420-9d53-ee11-be6f-0022481b51dd
10008455,10007843,10008455,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=13d12127-3689-ee11-be36-0022481b55ca&finaloutcome=40a9d420-9d53-ee11-be6f-0022481b51dd
10008455,10008455,10008455,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=13d12127-3689-ee11-be36-0022481b55ca&finaloutcome=40a9d420-9d53-ee11-be6f-0022481b51dd
10008640,10008640,10008640,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=73ae658d-6d88-ee11-be36-0022481b55ca&finaloutcome=e32d9124-9d53-ee11-be6f-0022481b5210
10008816,10008816,10008816,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=bb127987-dbc4-ee11-9079-0022481b574a&finaloutcome=a293c9a4-9d53-ee11-be6f-0022481b51dd
10009292,10009292,10009292,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=35edfb40-b684-ee11-8179-0022481b574a&finaloutcome=c3171da0-9d53-ee11-be6f-0022481b5d22
10009527,10009527,10009527,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=795545b9-5589-ee11-be36-0022481b5d22&finaloutcome=33991fba-9d53-ee11-be6f-0022481b55ca
10010213,10010213,10010213,Bronze,Bronze,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=c9ceec53-7888-ee11-be36-0022481b5d22&finaloutcome=dc1c887e-9d53-ee11-be6f-0022481b5984
10014001,10014001,10014001,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=adef2902-5589-ee11-be36-0022481b574a&finaloutcome=45af4a82-9d53-ee11-be6f-0022481b574a
10015506,10015506,10015506,Bronze,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=15c6a04c-1d89-ee11-be36-0022481b55ca&finaloutcome=5aaf4a82-9d53-ee11-be6f-0022481b574a
10015688,10000975,10015688,Requires Improvement,Bronze,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a3a5cfca-e1d6-ee11-904c-000d3a86be8e&finaloutcome=a0e117c0-9d53-ee11-be6f-0022481b55ca
10015688,10007145,10015688,Requires Improvement,Bronze,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a3a5cfca-e1d6-ee11-904c-000d3a86be8e&finaloutcome=a0e117c0-9d53-ee11-be6f-0022481b55ca
10015688,10015688,10015688,Requires Improvement,Bronze,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a3a5cfca-e1d6-ee11-904c-000d3a86be8e&finaloutcome=a0e117c0-9d53-ee11-be6f-0022481b55ca
10019178,10019178,10019178,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=33b10852-4889-ee11-be36-0022481b5d22&finaloutcome=de648b23-9d53-ee11-be6f-0022481b5d22
10021100,10021100,10021100,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=236b18e9-8888-ee11-be36-0022481b5d22&finaloutcome=c6dadfbf-9d53-ee11-be6f-0022481b522f
10021682,10021682,10021682,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=18b540ab-3598-ee11-be37-0022481b5984&finaloutcome=bb8854a1-9d53-ee11-be6f-0022481b55ca
10022087,10022087,10022087,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=988799e3-5089-ee11-be36-0022481b5c9c&finaloutcome=1f88a8a9-9d53-ee11-be6f-0022481b5e3a
10022285,10022285,10022285,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=25d245ca-2889-ee11-be36-0022481b5c9c&finaloutcome=77536341-9d53-ee11-be6f-0022481b538a
10023139,10023139,10023139,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=375b9de9-ddc4-ee11-9079-0022481b55ca&finaloutcome=bf696a46-9d53-ee11-be6f-0022481b5984
10023452,10023452,10023452,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=d95e7238-4389-ee11-be36-0022481b538a&finaloutcome=3e3a1fbd-9d53-ee11-be6f-0022481b5210
10023453,10023453,10023453,Bronze,Silver,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a1680302-dec4-ee11-9079-0022481b574a&finaloutcome=984ca5bc-9d53-ee11-be6f-0022481b5c9c
10023454,10023454,10023454,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=379e7881-2d89-ee11-be36-0022481b55ca&finaloutcome=4d63dea4-9d53-ee11-be6f-0022481b5210
10023777,10000975,10023777,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f5e153fe-7088-ee11-be36-0022481b574a&finaloutcome=4e8415a6-9d53-ee11-be6f-0022481b5d22
10023777,10023777,10023777,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f5e153fe-7088-ee11-be36-0022481b574a&finaloutcome=4e8415a6-9d53-ee11-be6f-0022481b5d22
10024962,10024962,10024962,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=6183c9f5-ddc4-ee11-9079-0022481b55ca&finaloutcome=438713a6-9d53-ee11-be6f-0022481b5c8e
10025197,10025197,10025197,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=39a849cc-2689-ee11-be36-0022481b574a&finaloutcome=e4bf8d3e-9d53-ee11-be6f-0022481b5d22
10030129,10030129,10030129,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=c496681f-3e89-ee11-be36-0022481b574a&finaloutcome=fef19144-9d53-ee11-be6f-0022481b5d22
10030776,10030776,10030776,Bronze,Requires Improvement,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=6241bdaf-4289-ee11-be36-0022481b51dd&finaloutcome=1d991fba-9d53-ee11-be6f-0022481b55ca
10031982,10031982,10031982,Bronze,Requires Improvement,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=99b628ad-3298-ee11-be37-0022481b5d22&finaloutcome=3bb1a23e-9d53-ee11-be6f-0022481b5c9c
10034449,10034449,10034449,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=9679d5f0-2c89-ee11-be36-0022481b55ca&finaloutcome=15145d44-9d53-ee11-be6f-0022481b55ca
10035638,10035638,10035638,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=aff37e73-638f-ee11-be36-0022481b5d22&finaloutcome=61b1ea7e-9d53-ee11-be6f-0022481b5e3a
10037449,10037449,10037449,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=65160496-4f89-ee11-be36-0022481b55ca&finaloutcome=2aa80fb8-9d53-ee11-be6f-0022481b5d22
10037544,10037544,10037544,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=7609b101-8588-ee11-be36-0022481b574a&finaloutcome=010fecba-9d53-ee11-be6f-0022481b5c73
10039956,10039956,10039956,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a3456ed2-4a89-ee11-be36-0022481b51dd&finaloutcome=461977a1-9d53-ee11-be6f-0022481b522f
10040812,10040812,10040812,Gold,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=647302f3-4689-ee11-be36-0022481b5c9c&finaloutcome=5cb1a23e-9d53-ee11-be6f-0022481b5c9c
10042500,10004930,10042500,Bronze,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=85680252-1989-ee11-be36-0022481b55ca&finaloutcome=a57eae20-9d53-ee11-be6f-0022481b5c73
10042500,10014001,10042500,Bronze,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=85680252-1989-ee11-be36-0022481b55ca&finaloutcome=a57eae20-9d53-ee11-be6f-0022481b5c73
10042500,10042500,10042500,Bronze,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=85680252-1989-ee11-be36-0022481b55ca&finaloutcome=a57eae20-9d53-ee11-be6f-0022481b5c73
10042570,10042570,10042570,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=e7838de6-dbc4-ee11-9079-0022481b5c9c&finaloutcome=458713a6-9d53-ee11-be6f-0022481b5c8e
10048199,10048199,10048199,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=7f5375b4-2589-ee11-be36-0022481b55ca&finaloutcome=23b1a23e-9d53-ee11-be6f-0022481b5c9c
10067648,10007768,10067648,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=779a066b-2289-ee11-be36-0022481b51dd&finaloutcome=5e536341-9d53-ee11-be6f-0022481b538a
10067853,10067853,10067853,Bronze,Requires Improvement,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=5e245ffe-dbc4-ee11-9079-0022481b51dd&finaloutcome=c8e7ca80-9d53-ee11-be6f-0022481b5d22
10068157,10068157,10068157,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=9afb1257-3398-ee11-be37-0022481b51dd&finaloutcome=02f29144-9d53-ee11-be6f-0022481b5d22
10080811,10080811,10080811,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=d382aad7-6988-ee11-be36-0022481b5d22&finaloutcome=b66d4a3f-9d53-ee11-be6f-0022481b574a
10086591,10086591,10086591,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=2234b5c5-3d89-ee11-be36-0022481b574a&finaloutcome=debd62ba-9d53-ee11-be6f-0022481b574a
90000451,90000451,10007767,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=387030a7-3298-ee11-be37-0022481b5d22&finaloutcome=a0e8ca80-9d53-ee11-be6f-0022481b5d22
90000451,90000451,10040812,Gold,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=647302f3-4689-ee11-be36-0022481b5c9c&finaloutcome=5cb1a23e-9d53-ee11-be6f-0022481b5c9c
99999997,99999997,10007150,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f2ebe0b5-7588-ee11-be36-0022481b55ca&finaloutcome=dd6df822-9d53-ee11-be6f-0022481b538a
99999997,99999997,10007146,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=25cb415b-dcc4-ee11-9079-0022481b55ca&finaloutcome=5933fea3-9d53-ee11-be6f-0022481b5c9c
99999998,99999998,10007167,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=2dbc212f-068a-ee11-be36-0022481b55ca&finaloutcome=1a179bbe-9d53-ee11-be6f-0022481b538a
99999998,99999998,10007149,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=784c2b3c-628f-ee11-be36-0022481b574a&finaloutcome=034f957e-9d53-ee11-be6f-0022481b51dd
99999999,99999999,10000886,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f18d7ad7-5b8f-ee11-be36-0022481b574a&finaloutcome=036ef822-9d53-ee11-be6f-0022481b538a
99999999,99999999,10007806,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=921c5afe-dec4-ee11-9079-0022481b5c9c&finaloutcome=33e7c2a1-9d53-ee11-be6f-0022481b574a
